Исходная строка;Result
 ADW-2 ;1
 AISI 316L;1
 AISI-316L;1
 P235TR1;1
 S235GR2 ;1
 TP316L;1
 АISI316L;1
 АISI-316L;1
 из коррозионностойокой стали;1
 латунный;1
 ЛС 54-1;1
 ЛС 59-1;1
 Р235GН;1
 Р235ТR1 ;1
 СТ;1
 ст. 12Х18Н9Т;1
 ст. 20;1
 сталь;1
 стальной;1
 Х2СrNiМО17-12-2 ;1
(ту16-425.047-85) итюл.425132.001ту;0
,врс3-5,3.1-01.00.00-42;0
0,5 вт-0,2 ом±5%;0
0,5-2,5-6-ц;0
0,5-3-6кд;0
0,5-3-6-ц;0
0,8-4-8-ц;0
0,8-5-10-ц;0
0,8х4х100 ве8040;0
0.347.281-01ту;0
0.364.043ту;0
0.364.047ту;0
000.471.00ту;0
002.868ту;0
004-006-14-1-2;0
004-006-14-2;0
004-006-14-2-2;0
004-007-19-1-2;0
004-007-19-2-2;0
004-007-19-2-3;0
004-008-25-2-3;0
0-0462-056ту;0
005-007-14-2;0
005-008-19-2-2;0
005-008-19-2-4;0
006-008-14-2-3;0
006-009-19-2-2;0
006-009-2-2;0
006-010-19-2-2;0
006-010-25-2-2;0
007-010-19-2-2;0
007-011-25-2-2;0
008-010-14;0
008-011-19;0
008-011-19-2-043;0
008-011-19-2-4;0
008-012-25;0
008-012-25-2;0
008-012-25-2-2;0
009-012-19-2;0
009-012-19-2-2;0
009-012-19-2-3;0
009-013-25-2-043;0
009-013-25-2-2;0
009-013-25-2-4;0
01 в1/dn15 рn10;0
010-013-19;0
010-013-19-2-043;0
010-013-19-2-4;0
010-014-25-1-2;0
010-014-25-2;0
010-014-25-2-2;0
010-014-25-2-3;0
010-014-25-2-4;0
01-00-360-007ту;0
011-014-19-2-2;0
011-014-19-2-4;0
011-015-25-2-2;0
011-015-25-2-3;0
011-015-25-2-4;0
01-1874-62ту 16-516.184-73;0
012.05.061;0
012-015-19;0
012-015-19-2-043;0
012-016-25;0
012-016-25-1-1;0
012-016-25-2-1;0
012-016-25-2-2;0
012-016-25-2-3;0
012-016-25-2-3012;0
012-016-25-2-4;0
012-017-30;0
013-016-19-2;0
013-016-19-2-1;0
013-016-19-2-2;0
013-016-19-2-3012;0
013-017-25-2-043;0
013-017-25-2-2;0
013-017-25-2-4;0
013-103;0
013-105;0
013-106;0
013-118;0
013-134;0
013-139;0
013-17;0
013-26;0
013-38;0
013-39;0
013-40;0
013-49;0
013-52;0
013-57;0
013-71;0
013-9;0
013-97;0
014-013-25-2-2;0
014-017-19-2-2;0
014-018-25-2-1;0
014-018-25-2-2;0
014-018-25-2-3;0
0147-018-25-2-2;0
015.284ту;0
015-018-19-2-043;0
015-018-19-2-2;0
015-019-25-2;0
015-019-25-2-2;0
015-019-25-2-4;0
015100000 ту;0
016-019-19-2-2;0
016-019-19-2-3;0
016-020-2-2;0
016-020-25-2-2;0
